"id";"incept";"src";"description";"contextual";"inside";"window";"more_than_one_sign";"lat";"lng";"island";"city";"neighborhood";"street";"language_typology";"languages";"landmarks";"producer";"type";"transcription";"is_duplicate";"rhizome"
"1";"2017-03-25";"2016-10 dollars each sign brazilian.jpg";"2016-10 dollars each sign brazilian";"0";"1";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"2016-10 dollars each sign brazilian";"0";"0"
"2";"2017-03-25";"2016-10 percent military discount.jpg";"2016-10 percent military discount";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus ";"cont";"2016-10 percent military discount";"0";"0"
"3";"2017-03-27";"2016-10percent discount poster.jpg";"2016-10percent discount poster";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"2016-10percent discount poster";"0";"0"
"4";"2017-03-27";"25 percent off this rack kailua living.jpg";"25 percent off this rack kailua living ";"0";"1";"0";"0";"21.395094444444442";"-157.74392777777777";"Oahu";"Kailua ";"Kailua";"Oneawa St";"1";"Eng";;"bus";"con";"25 percent off this rack kailua living ";"0";"0"
"5";"2017-03-25";"50percent off sandkid.jpg";"50percent off sandkid";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"sandkids 50percent off";"0";"0"
"6";"2017-03-27";"808 skate.jpg";"808 skate";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Uluniu St";"1";"Eng";;"bus";"con";"shop name 808 skate";"0";"0"
"7";"2017-03-27";"A cup of tea victorian.jpg";"A cup of tea victorian";"0";"0";"0";"0";"21.396538888888887";"-157.74336111111108";"Oahu";"Kailua ";"Kailua";"Uluniu St";"1";"Eng";;"bus";"con";"shop name A cup of tea victorian victoria cafe";"0";"0"
"8";"2017-03-27";"A-1 barber.jpg";"A-1 barber";"0";"0";"0";"0";"21.395330555555557";"-157.74194444444444";"Oahu";"Kailua ";"Kailua";"Kuulei Rd";"1";"Eng";;"bus";"cont";"shop name A-1 barber";"0";"0"
"9";"2017-03-25";"aarons discourver scuba poster.jpg";"aarons discourver scuba poster";"0";"0";"0";"0";"21.39323333333333";"-157.740525";"Oahu";"Kailua ";"Kailua";"Hahani St";"1";"Eng";;"bus";"con";"aarons discourver scuba poster";"0";"0"
"10";"2017-03-25";"aarons pacific diving academy.jpg";"aarons pacific diving academy";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hahani St";"1";"Eng";;"bus";"con";"pacific diving academy.";"0";"0"
"11";"2017-03-25";"aarons.jpg";"aarons";"0";"0";"0";"0";"21.393202777777777";"-157.74053888888886";"Oahu";"Kailua ";"Kailua";"Hahani St";"1";"Eng";;"bus";"con";"shop name aarons";"0";"0"
"12";"2017-03-27";"abe drycleaners.jpg";"abe drycleaners";"0";"0";"0";"0";"21.395666666666667";"-157.74163888888887";"Oahu";"Kailua ";"Kailua";"Kuulei Rd";"1";"Eng";;"bus";"cont";"abe drycleaners";"0";"0"
"13";"2017-03-25";"address on the wall of boots and kimos.jpg";"address on the wall of boots and kimo's";"0";"0";"0";"0";"21.39216111111111";"-157.74061666666665";"Oahu";"Kailua ";"Kailua";"Hahani St";"2";"Hwn Eng";;"bus";"cont";"address on the wall of boots and kimo's";"0";"0"
"14";"2017-02-03";"Agnes door sticker.jpg";"Agne's door sticker";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Oneawa St";"3";"Eng, Jp, Hwn";;"bus";"con";"Agne's door sticker";"0";"0"
"15";"2017-02-03";"Agnes super bowl.jpg";"Agne's super bowl";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Oneawa St";"1";"Eng";;"bus";"con";"Agne's super bowl";"0";"0"
"16";"2017-02-03";"Agnes' portuguese bake shop.jpg";"Agnes' portuguese bake shop";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Oneawa St";"1";"Eng";;"bus";"cont";"Agnes' portuguese bake shop";"0";"0"
"17";"2017-03-25";"Alcohol policy Whole foods.jpg";"Alcohol policy Whole foods";"0";"1";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Kailua Rd";"2";"Eng, Jp";;"bus";"cont";;"0";"0"
"18";"2017-03-25";"all sales final.jpg";"all sales final";"0";"0";"0";"0";"21.39390277777778";"-157.74139444444444";"Oahu";"Kailua ";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"all sales final";"0";"0"
"19";"2017-02-19";"aloha alarm.jpg";"aloha alarm";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"2";"Hwn, Eng";;"bus";"con";"aloha alarm";"0";"0"
"20";"2017-03-25";"aloha beach culb.jpg";"aloha beach culb";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"2";"Eng, Hwn";;"bus";"cont";"shop name aloha beach culb";"0";"0"
"21";"2017-03-25";"Aloha duck red bamboo.jpg";"Aloha duck red bamboo";"0";"1";"0";"0";"21.394158333333333";"-157.74200555555555";"Oahu";"Kailua";"Kailua";"Kailua Rd";"3";"Eng, Hwn, Jp";;"bus";"con";;"0";"0"
"22";"2017-03-25";"Aloha salads.jpg";"Aloha salads";"0";"0";"0";"0";"21.393958333333334";"-157.7414861111111";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"shop name aloha salads";"0";"0"
"23";"2017-03-25";"alohastreet teddys bigger burger.jpg";"alohastreet teddy's bigger burger";"0";"1";"0";"0";"21.39309722222222";"-157.74063055555555";"Oahu";"Kailua ";"Kailua";"Hahani St";"3";"Jp, Eng, Hwn";;"bus";"decont";"alohastreet teddy's bigger burger";"0";"0"
"24";"2017-02-19";"aluminum cans.jpg";"aluminum cans";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"con";"aluminum cans";"0";"0"
"25";"2017-03-25";"arrons dive shop window.jpg";"arrons dive shop window";"0";"0";"0";"0";"21.393141666666665";"-157.74061666666665";"Oahu";"Kailua ";"Kailua";"Hahani St";"1";"Eng";;"bus";"con";"arrons dive shop window";"0";"0"
"26";"2017-03-25";"art for your sourl on the window red bamboo.jpg";"art for your sourl on the window red bamboo";"0";"0";"0";"0";"21.393994444444445";"-157.74185277777775";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";;"0";"0"
"27";"2017-02-03";"arts obedience.jpg";"art's obedience";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"con";"art's obedience";"0";"0"
"28";"2017-03-27";"arvijo.jpg";"arvijo ";"0";"0";"0";"0";"21.394122222222222";"-157.74569722222222";"Oahu";"Kailua";"Kailua";"Kainehe St";"1";"Eng";;"bus";"con";"shop name arvijo ";"0";"0"
"29";"2017-03-25";"Asian model fighting ed.jpg";"Asian model fighting ed";"1";"1";"0";"0";"21.393919444444442";"-157.74249166666667";"Oahu";"Kailua";"Kailua";"Kailua Rd";"0";;;;;"Asian model fighting ed";"0";"0"
"30";"2017-03-27";"authentic thai cusine.jpg";"authentic thai cusine";"0";"0";"0";"0";"21.395683333333334";"-157.74169999999998";"Oahu";"Kailua ";"Kailua";"Kuulei Rd";"1";"Eng";;"bus";"cont";"authentic thai cusine";"0";"0"
"31";"2017-03-27";"Auto parts.jpg";"Auto parts";"0";"0";"0";"0";"21.39473333333333";"-157.74600277777776";"Oahu";"Kailua";"Kailua";"Kainehe St";"1";"Eng";;"bus";"con";"Auto parts";"0";"0"
"32";"2017-03-25";"bale open sign.jpg";"bale open sign";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"con";"bale open sign";"0";"0"
"33";"2017-03-25";"bale.jpg";"bale";"0";"0";"0";"0";"21.392325";"-157.7424611111111";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"con";"shop name bale";"0";"0"
"34";"2017-03-27";"bamboo Hawaii.jpg";"bamboo Hawaii";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Uluniu St";"1";"Eng";;"bus";"con";"shop name bamboo Hawaii";"0";"0"
"35";"2017-03-25";"Bank of Hawai.jpg";"Bank of Hawai";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"shop name bank of Hawaii";"0";"0"
"36";"2017-03-25";"Bank of Hawaii ATM.jpg";"Bank of Hawaii ATM";"0";"0";"0";"0";"21.394302777777778";"-157.74294999999998";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"ATM";"0";"0"
"37";"2016-10-28";"Barber shop no Jp.jpg";"Barber shop no Jp";"0";"0";"0";"0";"21.392916666666665";"-157.7403861111111";"Oahu";"Kailua";"Kailua";"Hahani Rd";"1";"Eng";;"bus";"cont";"special military haircut";"0";"0"
"38";"2016-10-28";"Beach adventures bathroom Kailua_Oahu.jpg";"Beach adventures bathroom Kailua_Oahu";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"2";"Eng, Jp";;"bus";"cont";"Employees only women";"0";"0"
"39";"2016-10-28";"Beach adventures changing rooms.jpg";"Beach adventures changing rooms";"0";"0";"0";"0";"21.396891666666665";"-157.73116944444445";"Oahu";"Kailua ";"Kailua ";"Kailua Rd";"2";"Jp, Eng";;"bus";"cont";"Locker Rooms customers only";"0";"0"
"40";"2016-10-28";"Beach adventures mens bathroom Kailua.jpg";"Beach adventures men's bathroom Kailua";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"2";"Eng, Jp";;"bus";"cont";"Employees only bathroom men";"0";"0"
